county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
Sarasota County,Florida,Annual ,"4,525","-3,599","2,960","6,559","8,179","3,745","4,434"
Seminole County,Florida,Annual ,"5,351",571,"4,664","4,093","4,764","6,844","-2,080"
Sumter County,Florida,Annual ,"2,536","-2,105",545,"2,650","4,638",253,"4,385"
Suwannee County,Florida,Annual ,"1,402",-270,420,690,"1,671",123,"1,548"
Taylor County,Florida,Annual ,77,-121,207,328,199,188,11
Union County,Florida,Annual ,-255,-127,137,264,-128,5,-133
Volusia County,Florida,Annual ,"10,150","-2,943","4,971","7,914","13,093","3,369","9,724"
Wakulla County,Florida,Annual ,643,-44,338,382,686,50,636
Walton County,Florida,Annual ,"3,328",110,977,867,"3,237",356,"2,881"
Washington County,Florida,Annual ,958,-73,282,355,"1,024",49,975
Appling County,Georgia,Annual ,152,8,214,206,145,47,98
Atkinson County,Georgia,Annual ,84,25,144,119,58,60,-2
Bacon County,Georgia,Annual ,-95,-7,129,136,-87,7,-94
Baker County,Georgia,Annual ,-18,-34,18,52,17,16,1
Baldwin County,Georgia,Annual ,221,-140,388,528,356,13,343
Banks County,Georgia,Annual ,455,25,244,219,430,0,430
Barrow County,Georgia,Annual ,"3,283",422,"1,223",801,"2,869",237,"2,632"
Bartow County,Georgia,Annual ,"2,531",256,"1,312","1,056","2,272",81,"2,191"
Ben Hill County,Georgia,Annual ,-205,-68,219,287,-133,27,-160
Berrien County,Georgia,Annual ,79,-38,226,264,119,-1,120
Bibb County,Georgia,Annual ,380,126,"2,095","1,969",247,376,-129
Bleckley County,Georgia,Annual ,171,-34,123,157,204,0,204
Brantley County,Georgia,Annual ,378,-5,201,206,384,50,334
Brooks County,Georgia,Annual ,69,-77,137,214,147,79,68
Bryan County,Georgia,Annual ,"1,229",242,623,381,996,154,842
Bulloch County,Georgia,Annual ,"1,122",171,845,674,942,129,813
Burke County,Georgia,Annual ,41,-33,271,304,75,11,64
Butts County,Georgia,Annual ,252,-55,305,360,308,26,282
Calhoun County,Georgia,Annual ,-21,-1,55,56,-19,6,-25
Camden County,Georgia,Annual ,"1,108",278,790,512,819,5,814
Candler County,Georgia,Annual ,24,-41,138,179,65,-3,68
Carroll County,Georgia,Annual ,"2,618",338,"1,607","1,269","2,281",418,"1,863"
Catoosa County,Georgia,Annual ,5,-439,355,794,441,54,387
Charlton County,Georgia,Annual ,93,-3,132,135,94,-3,97
Chatham County,Georgia,Annual ,"2,579",603,"3,483","2,880","1,999","2,014",-15
Chattahoochee County,Georgia,Annual ,-40,145,185,40,-184,22,-206
Chattooga County,Georgia,Annual ,130,-143,257,400,272,70,202
Cherokee County,Georgia,Annual ,"6,270",924,"2,871","1,947","5,326","1,310","4,016"
Clarke County,Georgia,Annual ,-343,316,"1,307",991,-647,937,"-1,584"
Clay County,Georgia,Annual ,-54,-12,34,46,-40,0,-40
Clayton County,Georgia,Annual ,"-1,677","1,254","3,273","2,019","-2,914","1,809","-4,723"
Clinch County,Georgia,Annual ,63,14,92,78,50,66,-16
Cobb County,Georgia,Annual ,"6,330","4,149","8,919","4,770","2,179","7,795","-5,616"
Coffee County,Georgia,Annual ,387,95,567,472,292,200,92
Colquitt County,Georgia,Annual ,462,42,624,582,418,540,-122
Columbia County,Georgia,Annual ,"2,002",445,"1,708","1,263","1,555",548,"1,007"
Cook County,Georgia,Annual ,224,16,231,215,205,116,89
Coweta County,Georgia,Annual ,"1,964",420,"1,737","1,317","1,542",549,993
Crawford County,Georgia,Annual ,14,-104,82,186,118,6,112
Crisp County,Georgia,Annual ,-200,-14,222,236,-185,0,-185
Dade County,Georgia,Annual ,-120,-135,86,221,15,4,11
Dawson County,Georgia,Annual ,"2,028",67,365,298,"1,966",30,"1,936"
Decatur County,Georgia,Annual ,267,-41,355,396,308,49,259
DeKalb County,Georgia,Annual ,"2,260","4,816","10,016","5,200","-2,464","8,755","-11,219"
Dodge County,Georgia,Annual ,-169,-126,175,301,-42,22,-64
Dooly County,Georgia,Annual ,130,-29,99,128,159,47,112
Dougherty County,Georgia,Annual ,-217,-2,"1,082","1,084",-211,141,-352
Douglas County,Georgia,Annual ,"2,486",565,"1,736","1,171","1,935",334,"1,601"
Early County,Georgia,Annual ,-126,-37,111,148,-87,-1,-86
Echols County,Georgia,Annual ,-41,29,46,17,-70,17,-87
Effingham County,Georgia,Annual ,"1,599",185,763,578,"1,425",62,"1,363"
Elbert County,Georgia,Annual ,149,-51,249,300,203,10,193
Emanuel County,Georgia,Annual ,78,-35,290,325,112,26,86
Evans County,Georgia,Annual ,116,-25,114,139,139,3,136
Fannin County,Georgia,Annual ,-62,-278,184,462,218,-4,222
Fayette County,Georgia,Annual ,"1,409",-76,933,"1,009","1,509",602,907
Floyd County,Georgia,Annual ,983,-104,"1,142","1,246","1,079",340,739
Forsyth County,Georgia,Annual ,"5,561",803,"2,401","1,598","4,786","2,464","2,322"
Franklin County,Georgia,Annual ,393,-46,284,330,442,95,347
Fulton County,Georgia,Annual ,"6,383","4,888","12,267","7,379","1,451","9,571","-8,120"
Gilmer County,Georgia,Annual ,459,-124,300,424,583,21,562
Glascock County,Georgia,Annual ,65,-13,36,49,77,0,77
Glynn County,Georgia,Annual ,311,-189,870,"1,059",497,220,277
Gordon County,Georgia,Annual ,921,-40,676,716,965,114,851
Grady County,Georgia,Annual ,141,-29,295,324,174,40,134
Greene County,Georgia,Annual ,358,-119,140,259,474,32,442
Gwinnett County,Georgia,Annual ,"12,267","6,198","11,279","5,081","5,987","12,945","-6,958"
Habersham County,Georgia,Annual ,814,-53,519,572,865,188,677
Hall County,Georgia,Annual ,"3,497",862,"2,736","1,874","2,613","1,384","1,229"
Hancock County,Georgia,Annual ,-47,-94,55,149,47,4,43
Haralson County,Georgia,Annual ,364,-45,357,402,410,9,401
Harris County,Georgia,Annual ,229,-38,301,339,272,36,236
Hart County,Georgia,Annual ,495,-77,239,316,572,21,551
Heard County,Georgia,Annual ,67,-56,98,154,125,0,125
Henry County,Georgia,Annual ,"4,381",929,"2,920","1,991","3,496",607,"2,889"
Houston County,Georgia,Annual ,"2,942",630,"2,068","1,438","2,322",480,"1,842"
Irwin County,Georgia,Annual ,32,-40,99,139,73,1,72
Jackson County,Georgia,Annual ,"5,102",227,"1,044",817,"4,888",229,"4,659"
Jasper County,Georgia,Annual ,723,46,196,150,679,7,672
Jeff Davis County,Georgia,Annual ,192,-82,160,242,277,9,268
Jefferson County,Georgia,Annual ,-192,-112,174,286,-79,18,-97
Jenkins County,Georgia,Annual ,208,-23,90,113,232,0,232
Johnson County,Georgia,Annual ,-150,-79,94,173,-70,4,-74
Jones County,Georgia,Annual ,47,-58,239,297,104,-1,105
Lamar County,Georgia,Annual ,270,-31,208,239,299,24,275
Lanier County,Georgia,Annual ,12,14,116,102,0,59,-59
Laurens County,Georgia,Annual ,355,-28,602,630,385,84,301
Lee County,Georgia,Annual ,145,13,299,286,132,89,43
Liberty County,Georgia,Annual ,372,864,"1,394",530,-478,254,-732
Lincoln County,Georgia,Annual ,151,-22,76,98,174,6,168
Long County,Georgia,Annual ,788,102,257,155,687,25,662
Lowndes County,Georgia,Annual ,"1,282",483,"1,554","1,071",791,107,684
Lumpkin County,Georgia,Annual ,748,-57,315,372,804,54,750
McDuffie County,Georgia,Annual ,-96,-15,264,279,-82,5,-87
McIntosh County,Georgia,Annual ,268,-78,103,181,344,1,343
Macon County,Georgia,Annual ,-7,-50,129,179,42,33,9
Madison County,Georgia,Annual ,516,59,407,348,456,80,376
Marion County,Georgia,Annual ,150,-29,78,107,182,31,151
Meriwether County,Georgia,Annual ,475,-35,216,251,512,0,512
Miller County,Georgia,Annual ,34,-23,60,83,57,1,56
Mitchell County,Georgia,Annual ,-449,-54,231,285,-395,6,-401
Monroe County,Georgia,Annual ,821,-100,268,368,925,21,904
Montgomery County,Georgia,Annual ,-201,-53,81,134,-148,19,-167
Morgan County,Georgia,Annual ,403,-14,228,242,419,26,393
Murray County,Georgia,Annual ,244,-21,429,450,262,9,253
Muscogee County,Georgia,Annual ,-129,504,"2,631","2,127",-633,545,"-1,178"
Newton County,Georgia,Annual ,"3,481",286,"1,353","1,067","3,221",510,"2,711"
Oconee County,Georgia,Annual ,495,1,357,356,502,110,392
Oglethorpe County,Georgia,Annual ,384,8,166,158,380,20,360
Paulding County,Georgia,Annual ,"5,014",668,"1,911","1,243","4,367",777,"3,590"
Peach County,Georgia,Annual ,406,-30,357,387,434,43,391
Pickens County,Georgia,Annual ,605,-117,336,453,718,41,677
Pierce County,Georgia,Annual ,226,16,268,252,211,-2,213
Pike County,Georgia,Annual ,247,-52,190,242,300,7,293
Polk County,Georgia,Annual ,247,42,634,592,203,93,110
Pulaski County,Georgia,Annual ,66,-43,107,150,111,21,90
Putnam County,Georgia,Annual ,200,-122,195,317,322,100,222
Quitman County,Georgia,Annual ,45,-7,19,26,52,0,52
Rabun County,Georgia,Annual ,186,-88,163,251,272,76,196
Randolph County,Georgia,Annual ,-28,-43,56,99,15,3,12
Richmond County,Georgia,Annual ,657,535,"2,822","2,287",122,463,-341
Rockdale County,Georgia,Annual ,"1,347",198,"1,001",803,"1,153",389,764
Schley County,Georgia,Annual ,-31,-16,47,63,-14,0,-14
Screven County,Georgia,Annual ,121,-37,149,186,158,1,157
Seminole County,Georgia,Annual ,194,-25,97,122,219,9,210
Spalding County,Georgia,Annual ,300,-9,853,862,307,148,159
Stephens County,Georgia,Annual ,243,-100,311,411,341,43,298
Stewart County,Georgia,Annual ,112,-21,43,64,134,116,18
Sumter County,Georgia,Annual ,30,-19,355,374,49,45,4
Talbot County,Georgia,Annual ,40,-61,39,100,102,0,102
Taliaferro County,Georgia,Annual ,19,-20,12,32,40,0,40
Tattnall County,Georgia,Annual ,-53,5,280,275,-60,-3,-57
Taylor County,Georgia,Annual ,-10,-29,82,111,22,12,10
Telfair County,Georgia,Annual ,31,-35,139,174,66,28,38
Terrell County,Georgia,Annual ,-6,-60,95,155,54,2,52
Thomas County,Georgia,Annual ,388,-33,572,605,425,43,382
Tift County,Georgia,Annual ,88,55,529,474,33,89,-56
Toombs County,Georgia,Annual ,290,40,395,355,250,147,103
Towns County,Georgia,Annual ,177,-123,95,218,295,10,285
Treutlen County,Georgia,Annual ,69,14,83,69,55,0,55
Troup County,Georgia,Annual ,556,136,947,811,421,320,101
Turner County,Georgia,Annual ,97,-5,125,130,102,16,86
Twiggs County,Georgia,Annual ,22,-110,53,163,132,0,132
Union County,Georgia,Annual ,486,-216,165,381,701,26,675
Upson County,Georgia,Annual ,93,-125,303,428,219,-4,223
Walker County,Georgia,Annual ,-70,-444,430,874,381,56,325
Walton County,Georgia,Annual ,"3,014",205,"1,290","1,085","2,819",190,"2,629"
Ware County,Georgia,Annual ,-41,-83,459,542,42,82,-40
Warren County,Georgia,Annual ,40,-46,56,102,87,1,86
Washington County,Georgia,Annual ,-57,-76,201,277,20,34,-14
Wayne County,Georgia,Annual ,683,-107,320,427,793,90,703
Webster County,Georgia,Annual ,-52,-33,14,47,-18,39,-57
Wheeler County,Georgia,Annual ,-21,1,70,69,-21,0,-21
White County,Georgia,Annual ,612,-104,282,386,716,42,674
Whitfield County,Georgia,Annual ,923,204,"1,184",980,712,644,68
Wilcox County,Georgia,Annual ,103,-32,76,108,135,0,135
Wilkes County,Georgia,Annual ,15,-56,93,149,70,21,49
Wilkinson County,Georgia,Annual ,-80,-43,109,152,-36,5,-41
Worth County,Georgia,Annual ,-9,-76,199,275,68,0,68
Hawaii County,Hawaii,Annual ,"1,747",-322,"1,738","2,060","2,076","1,452",624
Honolulu County,Hawaii,Annual ,"4,171","2,303","10,608","8,305","1,956","8,846","-6,890"
Kalawao County,Hawaii,Annual ,0,0,0,0,0,0,0
Kauai County,Hawaii,Annual ,-93,48,734,686,-138,350,-488
Maui County,Hawaii,Annual ,"-1,066",242,"1,602","1,360","-1,322","1,245","-2,567"
Ada County,Idaho,Annual ,"9,109","1,457","5,136","3,679","7,592","2,352","5,240"
Adams County,Idaho,Annual ,100,-24,35,59,124,8,116
Bannock County,Idaho,Annual ,425,157,"1,041",884,264,275,-11
Bear Lake County,Idaho,Annual ,-4,24,77,53,-29,10,-39
Benewah County,Idaho,Annual ,129,-2,120,122,132,0,132
Bingham County,Idaho,Annual ,491,157,660,503,338,30,308
Blaine County,Idaho,Annual ,81,50,193,143,29,167,-138
Boise County,Idaho,Annual ,21,-5,72,77,25,38,-13
Bonner County,Idaho,Annual ,"1,246",-86,464,550,"1,343",173,"1,170"
Bonneville County,Idaho,Annual ,"2,169",831,"1,798",967,"1,342",127,"1,215"
Boundary County,Idaho,Annual ,363,12,157,145,354,85,269
Butte County,Idaho,Annual ,-12,-4,30,34,-8,-1,-7
Camas County,Idaho,Annual ,15,9,11,2,6,0,6
Canyon County,Idaho,Annual ,"8,150","1,401","3,430","2,029","6,750","1,342","5,408"
Caribou County,Idaho,Annual ,6,21,91,70,-16,2,-18
Cassia County,Idaho,Annual ,159,114,366,252,46,269,-223
Clark County,Idaho,Annual ,-7,11,17,6,-17,1,-18
Clearwater County,Idaho,Annual ,-41,-84,65,149,42,3,39
Custer County,Idaho,Annual ,66,-5,39,44,74,9,65
Elmore County,Idaho,Annual ,23,239,480,241,-213,172,-385
Franklin County,Idaho,Annual ,122,85,230,145,39,11,28
Fremont County,Idaho,Annual ,141,96,208,112,45,35,10
Gem County,Idaho,Annual ,473,-16,223,239,487,322,165
Gooding County,Idaho,Annual ,76,39,220,181,37,98,-61
Idaho County,Idaho,Annual ,-16,-82,179,261,68,23,45
Jefferson County,Idaho,Annual ,595,250,473,223,350,69,281
Jerome County,Idaho,Annual ,482,187,373,186,296,243,53
Kootenai County,Idaho,Annual ,"3,086",153,"1,943","1,790","2,938",42,"2,896"
Latah County,Idaho,Annual ,489,155,438,283,332,439,-107
Lemhi County,Idaho,Annual ,-50,-58,58,116,10,11,-1
Lewis County,Idaho,Annual ,-12,-12,37,49,1,0,1
Lincoln County,Idaho,Annual ,112,37,75,38,76,20,56
Madison County,Idaho,Annual ,426,899,"1,116",217,-473,642,"-1,115"
Minidoka County,Idaho,Annual ,165,101,312,211,65,87,-22
Nez Perce County,Idaho,Annual ,-131,-267,383,650,135,35,100
Oneida County,Idaho,Annual ,21,6,49,43,15,0,15
Owyhee County,Idaho,Annual ,-14,19,141,122,-32,58,-90
Payette County,Idaho,Annual ,378,34,320,286,346,8,338
Power County,Idaho,Annual ,80,29,99,70,52,108,-56
Shoshone County,Idaho,Annual ,2,-55,164,219,59,11,48
Teton County,Idaho,Annual ,300,82,129,47,218,59,159
Twin Falls County,Idaho,Annual ,"1,105",273,"1,150",877,829,422,407
Valley County,Idaho,Annual ,147,1,92,91,147,1,146
Washington County,Idaho,Annual ,31,-34,136,170,64,93,-29
Adams County,Illinois,Annual ,-326,-96,668,764,-230,47,-277
Alexander County,Illinois,Annual ,-129,-52,37,89,-77,0,-77
Bond County,Illinois,Annual ,-61,-83,107,190,22,21,1
Boone County,Illinois,Annual ,74,87,525,438,-10,43,-53
Brown County,Illinois,Annual ,6,12,51,39,-5,0,-5
Bureau County,Illinois,Annual ,-272,-125,300,425,-149,29,-178
Calhoun County,Illinois,Annual ,-69,-47,25,72,-22,0,-22
Carroll County,Illinois,Annual ,-48,-60,119,179,13,13,0
Cass County,Illinois,Annual ,-66,31,163,132,-96,243,-339
Champaign County,Illinois,Annual ,"2,561",468,"1,982","1,514","2,081","5,556","-3,475"
Christian County,Illinois,Annual ,-72,-70,329,399,-3,3,-6
Clark County,Illinois,Annual ,-142,-125,98,223,-16,29,-45
Clay County,Illinois,Annual ,-124,-62,133,195,-62,1,-63
Clinton County,Illinois,Annual ,201,18,370,352,185,104,81
Coles County,Illinois,Annual ,-109,-114,462,576,5,196,-191
Cook County,Illinois,Annual ,"40,095","9,459","51,412","41,953","30,570","67,763","-37,193"
Crawford County,Illinois,Annual ,46,-91,168,259,140,2,138
Cumberland County,Illinois,Annual ,33,7,108,101,27,5,22
DeKalb County,Illinois,Annual ,674,196,"1,020",824,470,511,-41
De Witt County,Illinois,Annual ,-12,-49,143,192,36,-2,38
Douglas County,Illinois,Annual ,91,32,251,219,58,86,-28
DuPage County,Illinois,Annual ,"7,962","2,922","9,658","6,736","4,966","11,567","-6,601"
Edgar County,Illinois,Annual ,-44,-111,122,233,67,10,57
Edwards County,Illinois,Annual ,-37,-27,34,61,-9,5,-14
Effingham County,Illinois,Annual ,149,66,423,357,85,77,8
Fayette County,Illinois,Annual ,-52,-48,216,264,-5,16,-21
Ford County,Illinois,Annual ,135,-28,136,164,164,88,76
Franklin County,Illinois,Annual ,-123,-141,377,518,18,24,-6
Fulton County,Illinois,Annual ,-154,-204,302,506,51,14,37
Gallatin County,Illinois,Annual ,-18,-54,38,92,35,0,35
Greene County,Illinois,Annual ,-155,-54,121,175,-101,1,-102
Grundy County,Illinois,Annual ,248,49,535,486,200,116,84
Hamilton County,Illinois,Annual ,-68,-46,66,112,-23,-2,-21
Hancock County,Illinois,Annual ,-187,-30,167,197,-157,33,-190
Hardin County,Illinois,Annual ,-49,-54,30,84,5,-1,6
Henderson County,Illinois,Annual ,-57,-13,62,75,-43,1,-44
Henry County,Illinois,Annual ,-185,-123,454,577,-62,15,-77
Iroquois County,Illinois,Annual ,34,-143,252,395,179,14,165
Jackson County,Illinois,Annual ,332,-15,529,544,344,543,-199
Jasper County,Illinois,Annual ,-64,-28,85,113,-38,16,-54
Jefferson County,Illinois,Annual ,-224,-123,378,501,-99,33,-132
Jersey County,Illinois,Annual ,-8,-131,155,286,123,38,85
Jo Daviess County,Illinois,Annual ,-221,-163,130,293,-55,7,-62
Johnson County,Illinois,Annual ,-35,-76,94,170,41,17,24
Kane County,Illinois,Annual ,"3,756","1,810","5,472","3,662","1,928","2,902",-974
Kankakee County,Illinois,Annual ,24,-49,"1,135","1,184",73,419,-346
Kendall County,Illinois,Annual ,"2,942",797,"1,507",710,"2,160",574,"1,586"
Knox County,Illinois,Annual ,53,-221,485,706,273,380,-107
Lake County,Illinois,Annual ,"4,397","1,664","6,609","4,945","2,696","7,297","-4,601"
LaSalle County,Illinois,Annual ,-7,-185,"1,116","1,301",176,212,-36
Lawrence County,Illinois,Annual ,-85,-113,92,205,26,15,11
Lee County,Illinois,Annual ,-62,-129,278,407,66,66,0
Livingston County,Illinois,Annual ,54,-102,365,467,160,70,90
Logan County,Illinois,Annual ,10,-125,220,345,134,27,107
McDonough County,Illinois,Annual ,-290,-38,268,306,-256,88,-344
McHenry County,Illinois,Annual ,"2,524",656,"3,112","2,456","1,880",583,"1,297"
McLean County,Illinois,Annual ,576,233,"1,617","1,384",340,"1,387","-1,047"
Macon County,Illinois,Annual ,-17,-121,"1,144","1,265",104,380,-276
Macoupin County,Illinois,Annual ,-232,-302,390,692,71,30,41
Madison County,Illinois,Annual ,-425,-842,"2,198","3,040",419,312,107
Marion County,Illinois,Annual ,-203,-149,417,566,-53,14,-67
Marshall County,Illinois,Annual ,-98,-71,98,169,-26,10,-36
Mason County,Illinois,Annual ,-45,-63,120,183,19,6,13
Massac County,Illinois,Annual ,-124,-130,94,224,6,-4,10
Menard County,Illinois,Annual ,-33,8,130,122,-40,10,-50
Mercer County,Illinois,Annual ,-164,-50,139,189,-115,2,-117
Monroe County,Illinois,Annual ,-175,-209,158,367,36,-1,37
Montgomery County,Illinois,Annual ,-141,-126,238,364,-15,7,-22
Morgan County,Illinois,Annual ,-155,-128,342,470,-27,11,-38
Moultrie County,Illinois,Annual ,38,-62,148,210,101,10,91
Ogle County,Illinois,Annual ,-46,-15,514,529,-31,77,-108
Peoria County,Illinois,Annual ,895,44,"2,057","2,013",846,"1,546",-700
Perry County,Illinois,Annual ,-227,-98,162,260,-129,21,-150
Piatt County,Illinois,Annual ,-92,-21,158,179,-72,1,-73
Pike County,Illinois,Annual ,-81,-80,146,226,-3,24,-27
Pope County,Illinois,Annual ,-12,-54,14,68,42,4,38
Pulaski County,Illinois,Annual ,-78,-28,52,80,-50,1,-51
Putnam County,Illinois,Annual ,45,-4,47,51,48,0,48
Randolph County,Illinois,Annual ,-90,-109,259,368,20,120,-100
Richland County,Illinois,Annual ,-140,-74,138,212,-67,12,-79
Rock Island County,Illinois,Annual ,792,-90,"1,611","1,701",879,"1,277",-398
St Clair County,Illinois,Annual ,-945,-678,"2,139","2,817",-268,597,-865
Saline County,Illinois,Annual ,-162,-166,221,387,4,13,-9
Sangamon County,Illinois,Annual ,129,-139,"1,969","2,108",266,821,-555
Schuyler County,Illinois,Annual ,25,-28,56,84,52,6,46
Scott County,Illinois,Annual ,30,-3,44,47,34,2,32
Shelby County,Illinois,Annual ,-51,-86,197,283,37,1,36
Stark County,Illinois,Annual ,5,-13,66,79,20,10,10
Stephenson County,Illinois,Annual ,-259,-253,350,603,-5,69,-74
Tazewell County,Illinois,Annual ,-14,-302,"1,217","1,519",291,82,209
Union County,Illinois,Annual ,20,-89,139,228,111,62,49
Vermilion County,Illinois,Annual ,-445,-357,776,"1,133",-86,21,-107
Wabash County,Illinois,Annual ,-53,-84,55,139,32,41,-9
Warren County,Illinois,Annual ,-7,-1,190,191,-6,65,-71
Washington County,Illinois,Annual ,-35,-53,122,175,18,0,18
Wayne County,Illinois,Annual ,53,-83,157,240,136,110,26
White County,Illinois,Annual ,-87,-132,97,229,45,9,36
