City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
SAN DIEGO,SAN DIEGO,CA,US,cigar,5,witnessed small oblong object with red and blue lights hovering above my vehicle.,32.7152778,-117.1563889,2004,3,12,21,20,2004,6,18,32.7152778,-117.1563889,2004-03-12,2004,4.68,54.3,UFO,3298634,2020 Decennial Census
CONCORD,CONTRA COSTA,CA,US,circle,30,Bright light becoming really dim then suddenly disappeared,37.9780556,-122.03,2004,3,13,9,0,2004,3,17,37.9780556,-122.03,2004-03-13,2004,8.42,52.3,UFO,1165927,2020 Decennial Census
SAN JOSE,SANTA CLARA,CA,US,unknown,3,Unusual Green/Blue light dropping from the sky...,37.3394444,-121.8938889,2004,3,13,9,50,2004,3,17,37.3394444,-121.8938889,2004-03-13,2004,9.44,50.8,UFO,1936259,2020 Decennial Census
SAN RAMON,CONTRA COSTA,CA,US,circle,900,I filmed starry white objects in sky that I believe to be circular UFO&#39s.  ((NUFORC Note:  Possibly celestial bodies.  PD)),37.78,-121.9769444,2004,3,14,21,15,2004,3,17,37.78,-121.9769444,2004-03-14,2004,8.42,52.3,UFO,1165927,2020 Decennial Census
VALENCIA,LOS ANGELES,CA,US,disk,900,Three horizontally placed lights hovering in the sky&#44 attached to an elliptical object.,34.4436111,-118.6086111,2004,3,14,22,0,2004,3,17,34.4436111,-118.6086111,2004-03-14,2004,6.35,53,UFO,10014009,2020 Decennial Census
VISTA,SAN DIEGO,CA,US,triangle,600,three triangle Shaped craft recon behind a hill in vista&#44ca at night.,33.2,-117.2416667,2004,3,14,19,0,2004,4,27,33.2,-117.2416667,2004-03-14,2004,4.68,54.3,UFO,3298634,2020 Decennial Census
BURLINGAME,SAN MATEO,CA,US,oval,1200,Daylight sighting of squashed football shaped&#44 silver object  just above tree tops in heavily traveled area.,37.5841667,-122.365,2004,3,15,13,30,2008,10,31,37.5841667,-122.365,2004-03-15,2004,12.09,52.2,UFO,764442,2020 Decennial Census
NAPA,NAPA,CA,US,triangle,10,It was a triangle shape with 5 white lights and it made a sound like hi-tech jet.,38.2972222,-122.2844444,2004,3,15,22,0,2004,6,18,38.2972222,-122.2844444,2004-03-15,2004,14.54,51.3,UFO,138019,2020 Decennial Census
SAN LUIS OBISPO,SAN LUIS OBISPO,CA,US,flash,3,3 lights flash less than seconds apart in a row to the right - with a &quot;fading&quot; effect.,35.2827778,-120.6586111,2004,3,16,22,10,2004,3,17,35.2827778,-120.6586111,2004-03-16,2004,6.39,51.2,UFO,282424,2020 Decennial Census
OAKLAND,ALAMEDA,CA,US,triangle,15,I was looking up at the stars as I and a couple of friends were walking to grab a bite to eat&#44 when I noticed an object flying across t,37.8044444,-122.2697222,2004,3,17,21,30,2004,3,23,37.8044444,-122.2697222,2004-03-17,2004,7.89,51.8,UFO,1682353,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,circle,10800,the object jeted across the sky like a shooting star the stoped the jeted again across the sky and stoped and this continued for hours,32.7152778,-117.1563889,2004,3,17,22,0,2005,9,2,32.7152778,-117.1563889,2004-03-17,2004,4.68,54.3,UFO,3298634,2020 Decennial Census
SANTA MONICA,LOS ANGELES,CA,US,sphere,120,The craft came from the West out over the Pacific Ocean.  It was flying much higher than the Commercial Jet Traffic over Los Angeles.,34.0194444,-118.4902778,2004,3,17,12,15,2004,3,23,34.0194444,-118.4902778,2004-03-17,2004,6.35,53,UFO,10014009,2020 Decennial Census
